x_rec,y_rec,yaw_rec
-10.085781891355593,-1.1806514046173295,1.1211431964587533
-10.086071660135703,-1.1812518032336816,1.121198584154852
-10.086649392772495,-1.1824490300758037,1.121309024963998
-10.087513196793521,-1.1842395836320638,1.121474139163942
-10.08866109417348,-1.186620030093612,1.1216935028906558
-10.090091023424234,-1.1895870021027193,1.1219666492341716
-10.09180084177344,-1.1931371974298903,1.122293069428232
-10.093788327426267,-1.1972673775842486,1.122672214129042
-10.096051181904569,-1.2019743663619014,1.1231034947783158
-10.098587032457608,-1.2072550483371687,1.1235862850457483
-10.101393434538368,-1.2131063673017188,1.1241199223459768
-10.104467874339278,-1.2195253246567723,1.124703709425074
-10.107807771381138,-1.2265089777636373,1.125336916011588
-10.111410481148873,-1.2340544382579137,1.1260187805271509
-10.115273297767722,-1.2421588703327433,1.1267485118517027
-10.119393456713391,-1.250819488996508,1.1275252911384142
-10.123768137549664,-1.260033558310373,1.1283482736734582
-10.128394466686938,-1.2697983896110387,1.1292165907758585
-10.133269520155167,-1.2801113397240236,1.1301293517327446
-10.138390326384675,-1.290969809172715,1.1310856457654703
-10.143753868988359,-1.302371240388345,1.1320845440221832
-10.149357089538803,-1.314313115925924,1.1331251015926043
-10.15519689033391,-1.326792956691048,1.1342063595409542
-10.161270137144685,-1.3398083201823365,1.1353273469531624
-10.1675736619389,-1.3533567987541135,1.1364870829947222
-10.174104265574432,-1.3674360179037544,1.1376845789757954
-10.180858720456175,-1.3820436345879545,1.1389188404204345
-10.187833773150487,-1.3971773355719708,1.1401888691370765
-10.195026146951264,-1.4128348358156901,1.141699874773286
-10.202429207962641,-1.4290154038255842,1.1432491925435737
-10.210039350010728,-1.445716927023625,1.144835590249382
-10.217852949318784,-1.462937315250431,1.1464578387100373
-10.225866367375303,-1.4806744990239415,1.1481147140852679
-10.234075953720232,-1.4989264278621035,1.1498050001740545
-10.24247804864349,-1.5176910686725373,1.1515274906882962
-10.251068985790155,-1.5369664042118514,1.1532809915002344
-10.259845094666808,-1.5567504316169862,1.1550643228630528
-10.268802703043661,-1.577041161010691,1.1568763216045823
-10.277938139247293,-1.597836614182958,1.158957082730281
-10.28724259610007,-1.6191370685716913,1.1610662667963463
-10.296712123150577,-1.6409406657813095,1.163202527299304
-10.306342780501211,-1.6632455514736415,1.165364543684962
-10.316130641102284,-1.6860498741815284,1.167551023538183
-10.326071792903983,-1.7093517842175103,1.169760704730139
-10.336162340861708,-1.7331494326776329,1.1719923575257034
-10.346398408790439,-1.7574409705401586,1.174244786654354
-10.356776141063902,-1.7822245478587462,1.176767751648885
-10.367285362173186,-1.8075009508010331,1.1793091893677694
-10.377922016956482,-1.8332683908676184,1.18186778258102
-10.388682082580651,-1.8595250712678826,1.184442258313241
-10.399561569997843,-1.8862691864160563,1.1870313897299414
-10.410556525219945,-1.9134989215277187,1.1896339979860313
-10.421663030407574,-1.9412124523144665,1.1922489540437011
-10.432877204770357,-1.9694079447743942,1.1948751804678936
-10.444195205275157,-1.9980835550759555,1.1977628906753555
-10.455605902252923,-2.0272402972475043,1.2006579672890352
-10.467105346047303,-2.0568763323006225,1.203559276658928
-10.478689636504907,-2.0869898056506564,1.206465745473068
-10.490354923241513,-2.117578847380271,1.20937636227021
-10.502097405698004,-2.148641572588308,1.2122901789490104
-10.513913332983314,-2.180176081820378,1.2154423455791257
-10.525791449071292,-2.212183266100133,1.2185928058574214
-10.537727983630074,-2.2446611895611244,1.221740608722822
-10.549719226752076,-2.27760789795085,1.2248848735149658
-10.56176152823808,-2.3110214194394922,1.2280247911616913
-10.573851296658951,-2.3448997654927957,1.2311596253981085
-10.585984998192512,-2.379240931805174,1.234505490371359
-10.598151610703441,-2.41404553754084,1.2378407186405493
-10.610347663499308,-2.4493115117552633,1.2411646172291906
-10.62256975241768,-2.485036766030931,1.2444765708178656
-10.634814538042491,-2.521219195725723,1.247776042669024
-10.64707874369459,-2.5578566812583756,1.251255305764647
-10.659352004526083,-2.5949494555437305,1.2547162388751365
-10.67163117644916,-2.6324953151525823,1.258158383686147
-10.683913184946702,-2.670492041868263,1.2615813631033383
-10.696195022433999,-2.708937404199653,1.2649848819318128
-10.70847374540117,-2.7478291589065225,1.268536186765217
-10.720739884007472,-2.7871671071626216,1.272062141572021
-10.732990685799555,-2.826948914792117,1.275562555539185
-10.745223466858425,-2.8671722375769555,1.2790373201576293
-10.757435608351196,-2.9078347229021957,1.2824864097477129
-10.769624552875214,-2.948934011390933,1.2860510912208358
-10.781781935529072,-2.9904694556743485,1.2895843808555902
-10.793905436006195,-3.0324386071824794,1.2930863733031581
-10.805992797462608,-3.074839013411214,1.2965572443641802
-10.818041822349569,-3.11766821956738,1.2999972514876101
-10.830050368052262,-3.1609237701856934,1.3035209401388785
-10.842011353809943,-3.2046045770148157,1.307008393136123
-10.853922907120932,-3.2487081041403827,1.3104599940414423
-10.865783210186986,-3.293231818434371,1.3138762045924581
-10.877590495150837,-3.338173191085289,1.3173468891632822
-10.889338987687495,-3.38353074869071,1.3207772787222933
-10.901027208610733,-3.4293018941665996,1.3241679620708502
-10.912653726590928,-3.4754840384793084,1.327519601282482
-10.92421715310462,-3.5220746020201266,1.330832932291161
-10.935716137222457,-3.5690710159344605,1.3343034039030055
-10.947140134216284,-3.61647294785152,1.3377295781188958
-10.958488063019784,-3.664277739091508,1.3411123383548647
-10.969758878026633,-3.7124827455609295,1.344452638774533
-10.980951563505615,-3.7610853389246897,1.3484524147903978
-10.992030782261992,-3.810090685296455,1.352396985016777
